,val_loss,val_out_class_loss,val_out_asymm_loss,val_out_class_accuracy,loss,out_class_loss,out_asymm_loss,out_class_accuracy
0,0.2501063346862793,0.6146302223205566,0.00044877122854813933,0.6857143044471741,0.44097430195127213,0.6333218812942505,0.24862663447856903,0.683571457862854
1,0.2542040944099426,0.6155568957328796,0.00023346779926214367,0.6857143044471741,0.3174357722912516,0.6302192807197571,0.0046523138880729675,0.6785714030265808
2,0.26591330766677856,0.6100623607635498,0.0008476398070342839,0.6857143044471741,0.3150923831122262,0.6268504858016968,0.00333429966121912,0.6821428537368774
3,0.23413942754268646,0.6036378741264343,0.0008524785516783595,0.6857143044471741,0.3096600558076586,0.6151906251907349,0.004129491746425629,0.6864285469055176
4,0.2997366786003113,0.6197450160980225,0.0039816806092858315,0.6600000262260437,0.3051255573119436,0.6079221963882446,0.002329011680558324,0.6800000071525574
5,0.22692744433879852,0.5809066295623779,0.0008719898760318756,0.6857143044471741,0.3052732452750206,0.6080474853515625,0.0024989729281514883,0.6735714077949524
6,0.21505704522132874,0.5653639435768127,0.00224112905561924,0.6885714530944824,0.3006431428449495,0.5984848737716675,0.0028013677801936865,0.6871428489685059
7,0.2191847711801529,0.5563318729400635,0.0025544471573084593,0.6857143044471741,0.30124575261558806,0.5991036295890808,0.003387967823073268,0.6885714530944824
8,0.2352735847234726,0.5606985092163086,0.0025943208020180464,0.6942856907844543,0.29782441556453704,0.5899990200996399,0.005649817641824484,0.6842857003211975
9,0.22274193167686462,0.5585049390792847,0.004791563842445612,0.6857143044471741,0.29747638617243083,0.589053213596344,0.005899547133594751,0.6871428489685059
10,0.2195901721715927,0.560517430305481,0.003892341395840049,0.7171428799629211,0.2895301131265504,0.5745528340339661,0.004507347475737333,0.6942856907844543
11,0.24524691700935364,0.5502813458442688,0.0038887965492904186,0.7142857313156128,0.2819376934851919,0.5572628974914551,0.006612394005060196,0.7028571367263794
12,0.22894909977912903,0.5381107330322266,0.003998682368546724,0.7257142663002014,0.2875417298504284,0.5711725950241089,0.0039106630720198154,0.7049999833106995
13,0.2403160035610199,0.5284034013748169,0.006825581192970276,0.7285714149475098,0.2854461574128696,0.5656137466430664,0.005278655327856541,0.7128571271896362
14,0.2491789609193802,0.5295581817626953,0.004625952802598476,0.7571428418159485,0.27804617966924394,0.5504962801933289,0.0055961208418011665,0.7250000238418579
15,0.22343720495700836,0.5522305369377136,0.00325290160253644,0.7342857122421265,0.2756381024207388,0.5459608435630798,0.0053154053166508675,0.7242857217788696
16,0.24164025485515594,0.5322540402412415,0.0031052480917423964,0.7457143068313599,0.27434602081775666,0.5442004799842834,0.004491590429097414,0.7264285683631897
17,0.2568822205066681,0.5284697413444519,0.007617823779582977,0.7742857336997986,0.27199714737279074,0.5399916768074036,0.004002489615231752,0.7185714244842529
18,0.2524822950363159,0.5190316438674927,0.005866468418389559,0.7657142877578735,0.2690354328070368,0.5339810252189636,0.004089799709618092,0.7228571176528931
19,0.23247012495994568,0.5029908418655396,0.0022864313796162605,0.7428571581840515,0.26721248435122624,0.5299787521362305,0.004446250852197409,0.7385714054107666
20,0.22390009462833405,0.5088910460472107,0.003028548788279295,0.7542856931686401,0.26672972866467065,0.5289182662963867,0.004541209898889065,0.75
21,0.20665204524993896,0.49428701400756836,0.003441335866227746,0.7599999904632568,0.2624941180859293,0.52046799659729,0.004520239774137735,0.7521428465843201
22,0.2502654790878296,0.5059542059898376,0.0035177478566765785,0.7628571391105652,0.26316052419798713,0.5222101807594299,0.004110761918127537,0.7471428513526917
23,0.23149366676807404,0.5094813108444214,0.0029263095930218697,0.7457143068313599,0.2563166467206819,0.5086473822593689,0.003985825926065445,0.7521428465843201
24,0.23261840641498566,0.48049771785736084,0.0023378629703074694,0.7828571200370789,0.2587694072297641,0.5140330791473389,0.003505740547552705,0.7478571534156799
25,0.20904771983623505,0.49048519134521484,0.0021486894693225622,0.7857142686843872,0.24952295177749226,0.4948483109474182,0.004197480622678995,0.7607142925262451
26,0.24838951230049133,0.49779626727104187,0.0038904803805053234,0.7828571200370789,0.2551817297935486,0.5057294368743896,0.004634149372577667,0.7592856884002686
27,0.26324981451034546,0.4971885681152344,0.0024266550317406654,0.7742857336997986,0.25238916256598065,0.5013335347175598,0.00344472611322999,0.758571445941925
28,0.19709347188472748,0.5143152475357056,0.0019546537660062313,0.7742857336997986,0.251889417214053,0.5001147389411926,0.0036640686448663473,0.7721428275108337
29,0.22715166211128235,0.6352612376213074,0.017224274575710297,0.7742857336997986,0.249112026819161,0.4946337044239044,0.003590403823181987,0.7678571343421936
